"id","smoke","alcohol","drugs","sport"
"V1",1,3,1,1
"V2",3,2,3,1
"V3",1,3,1,1
"V4",1,2,1,1
"V5",1,4,3,2
"V6",3,4,1,2
"V7",3,3,2,2
"V8",3,4,3,2
"V9",1,2,1,1
"V10",2,4,1,2
"V11",1,5,2,1
"V12",3,5,3,1
"V13",1,2,3,1
"V14",3,3,1,1
"V15",3,5,3,1
"V16",3,4,2,1
"V17",2,4,2,1
"V18",1,3,2,1
"V19",3,5,3,1
"V20",1,3,1,2
"V21",1,3,1,2
"V22",1,3,1,2
"V23",3,2,3,1
"V24",1,3,2,2
"V25",1,4,1,1
"V26",3,3,3,1
"V27",1,3,1,1
"V28",1,4,1,2
"V29",1,3,1,2
"V30",3,4,3,1
"V31",1,4,1,2
"V32",1,4,1,1
"V33",3,3,1,2
"V34",1,2,1,1
"V35",1,4,3,1
"V36",3,4,3,1
"V37",1,3,1,2
"V38",1,4,3,1
"V39",1,3,1,2
"V40",1,1,1,2
"V41",3,4,3,1
"V42",3,5,3,1
"V43",1,4,2,2
"V44",1,5,3,1
"V45",1,2,1,2
"V46",1,2,1,1
"V47",1,2,1,1
"V48",1,4,1,2
"V49",1,3,1,1
"V50",3,3,3,1
